arrival_time,priority_level,cpu_utilization,memory_utilization,num_threads,process_status,target_schedule,combined_load_score
5.5526,2,0.0,0.73,31,1,1,40.365
5.5577,0,0.0,0.32,29,3,2,0.16
5.5619,2,0.0,0.26,31,3,1,40.13
5.5674,2,0.0,0.37,11,3,1,40.185
5.5731,2,0.0,0.0,38,1,1,40.0
5.5774,2,0.0,0.01,17,3,1,40.005
5.5833,2,0.0,0.13,11,3,1,40.065
5.5905,2,0.0,0.3,3,3,1,40.15
5.5956,2,0.0,0.43,50,3,1,40.215
5.6004,2,0.0,0.05,9,3,1,40.025
5.6062,2,0.0,0.05,9,3,1,40.025
5.611,2,0.0,0.07,24,3,1,40.035
5.6158,2,0.0,0.11,7,3,1,40.055
5.6214,2,0.0,0.19,2,3,1,40.095
5.626,0,0.0,0.39,12,3,2,0.195
5.6301,2,0.0,0.06,8,3,1,40.03
5.6366,2,0.0,0.01,17,3,1,40.005
5.6424,2,0.0,0.04,3,3,1,40.02
5.6471,0,0.0,1.41,29,3,2,0.705
5.6519,2,0.0,0.04,4,3,1,40.02
5.6581,0,0.0,0.16,29,3,2,0.08
5.6629,2,0.0,0.41,37,3,1,40.205
5.6669,2,0.0,0.01,2,3,1,40.005
5.6734,2,0.0,0.11,9,1,1,40.055
5.6788,2,0.0,0.32,20,3,1,40.16
5.6844,2,0.0,0.18,16,3,1,40.09
5.6907,2,0.0,0.07,2,3,1,40.035
5.6964,4,0.0,0.2,14,3,0,80.1
5.7031,2,0.0,0.22,8,3,1,40.11
5.7093,2,0.0,0.07,3,3,1,40.035
5.7142,2,0.0,0.95,16,1,1,40.475
5.7218,2,0.0,1.13,46,3,1,40.565
5.727,2,0.0,2.49,27,3,1,41.245
5.7319,2,0.0,0.19,7,3,1,40.095
5.7376,2,0.0,0.03,4,3,1,40.015
5.742,0,0.0,0.08,14,3,2,0.04
5.746,2,0.0,0.07,8,3,1,40.035
5.7513,2,0.0,0.15,29,3,1,40.075
5.7577,4,0.0,0.07,3,3,0,80.035
5.763,2,0.0,0.03,3,3,1,40.015
5.7685,2,0.0,0.3,14,3,1,40.15
5.7741,0,0.0,0.12,44,3,2,0.06
5.7782,2,0.0,0.14,11,3,1,40.07
5.7832,2,0.0,0.11,8,3,1,40.055
5.7888,2,0.0,0.19,26,3,1,40.095
5.7941,2,0.0,0.87,17,1,1,40.435
5.7986,2,0.0,0.04,5,3,1,40.02
5.8062,2,0.0,0.2,8,3,1,40.1
5.8133,2,0.0,0.03,2,3,1,40.015
5.8224,3,0.0,0.21,24,3,1,60.105
5.8293,2,0.0,0.05,9,3,1,40.025
5.8336,0,0.0,0.06,28,3,2,0.03
5.839,2,0.0,0.08,5,3,1,40.04
5.8447,2,0.0,0.03,19,3,1,40.015
5.8507,2,0.0,0.11,10,3,1,40.055
5.8564,2,0.0,0.19,10,3,1,40.095
5.8613,2,0.0,0.44,5,3,1,40.22
5.8664,3,0.0,0.14,20,3,1,60.07
5.8724,2,0.0,0.3,15,3,1,40.15
5.8775,2,0.0,0.26,8,3,1,40.13
5.8825,2,0.0,0.05,2,3,1,40.025
5.8881,2,0.0,0.11,11,3,1,40.055
5.8927,2,0.0,0.02,19,3,1,40.01
5.8968,2,0.0,0.15,53,3,1,40.075
5.9004,2,0.0,1.21,40,3,1,40.605
5.906,2,38.8,3.18,29,3,1,88.15
5.9112,2,0.0,0.07,8,3,1,40.035
5.9158,2,0.0,0.19,11,3,1,40.095
5.9222,2,0.0,0.24,9,3,1,40.12
5.9273,2,0.0,0.38,7,3,1,40.19
5.9322,2,0.0,0.65,10,3,1,40.325
5.9378,2,0.0,0.12,8,3,1,40.06
5.9435,3,0.0,0.72,22,3,1,60.36
5.9484,2,0.0,3.12,11,3,1,41.56
5.9522,3,7.0,1.87,19,3,1,69.33500000000001
5.9574,2,0.0,0.09,6,3,1,40.045
5.9624,2,0.0,0.12,7,3,1,40.06
5.9681,2,0.0,0.12,6,3,1,40.06
5.9744,2,0.0,0.3,11,3,1,40.15
5.9798,0,0.0,0.13,29,3,2,0.065
5.9867,2,0.0,1.71,13,3,1,40.855
5.9919,2,0.0,2.11,47,3,1,41.055
5.997,2,0.0,0.0,10,3,1,40.0
6.004,2,0.0,0.22,2,3,1,40.11
6.009,2,84.2,0.43,23,3,0,141.25500000000002
6.0134,2,0.0,0.1,8,3,1,40.05
6.0184,0,0.0,0.66,26,3,2,0.33
6.0248,2,0.0,0.52,19,3,1,40.26
6.0309,2,0.0,0.05,8,3,1,40.025
6.0373,2,0.0,0.02,3,3,1,40.01
6.0431,0,0.0,1.69,28,3,2,0.845
6.0472,3,0.0,1.03,21,3,1,60.515
6.0514,2,0.0,0.31,25,3,1,40.155
6.0565,2,0.0,0.16,7,3,1,40.08
6.0614,0,0.0,1.92,34,3,2,0.96
6.0659,2,0.0,0.04,1,3,1,40.02
6.0718,2,0.0,0.1,15,3,1,40.05
6.0778,2,0.0,0.18,10,3,1,40.09
6.0832,2,0.0,0.08,11,3,1,40.04
6.0891,2,0.0,0.13,8,3,1,40.065
6.0932,2,0.0,0.66,49,3,1,40.33
6.0984,2,0.0,0.13,8,3,1,40.065
6.1045,2,0.0,0.54,13,3,1,40.27
6.11,2,0.0,0.52,30,3,1,40.26
7.1195,2,0.0,0.78,47,3,1,40.39
7.1298,2,0.0,0.99,17,3,1,40.495
7.1399,2,0.0,0.04,3,3,1,40.02
7.1501,2,2.7,1.62,19,3,1,44.050000000000004
7.1608,2,0.0,0.02,3,3,1,40.01
7.17,3,0.0,0.14,6,3,1,60.07
7.1791,2,0.0,0.81,24,3,1,40.405
7.186,2,0.0,0.09,2,3,1,40.045
