arrival_time,priority_level,cpu_utilization,memory_utilization,num_threads,process_status,target_schedule
5.3789,2,1.7,1.61,19,3,1
5.3864,2,0.0,0.02,3,3,1
5.3952,3,0.0,0.14,6,3,1
5.4022,2,0.0,0.81,24,3,1
5.4091,2,0.0,0.09,2,3,1
5.4154,2,0.0,0.01,2,3,1
5.4226,4,0.0,0.42,19,3,0
5.4317,2,0.0,0.13,10,3,1
5.4396,2,0.0,0.14,8,3,1
5.4456,2,0.0,0.01,2,3,1
5.4517,2,0.0,3.88,83,3,1
5.4567,2,0.9,0.22,23,3,1
5.4618,2,0.0,0.24,13,3,1
5.4658,2,0.0,0.05,6,3,1
5.4709,2,0.0,0.03,1,3,1
5.4759,0,0.0,0.09,28,3,2
5.4802,2,0.0,0.01,2,3,1
5.4865,1,0.0,0.09,18,3,2
5.4916,2,0.0,0.09,9,3,1
5.4957,2,0.0,0.05,9,3,1
5.5,2,0.0,0.03,2,3,1
5.5055,2,0.0,0.3,5,3,1
5.5108,3,0.0,0.09,21,3,1
5.5152,2,43.1,1.97,34,3,1
5.5209,2,0.0,0.35,24,3,1
5.526,2,0.0,0.22,9,3,1
5.5303,2,0.0,0.03,2,3,1
5.5381,2,65.2,0.25,7,3,0
5.5435,2,0.0,0.63,61,3,1
5.5483,2,0.0,0.04,4,3,1
5.5526,2,0.0,0.73,31,1,1
5.5577,0,0.0,0.32,29,3,2
5.5619,2,0.0,0.26,31,3,1
5.5674,2,0.0,0.37,11,3,1
5.5731,2,0.0,0.0,38,1,1
5.5774,2,0.0,0.01,17,3,1
5.5833,2,0.0,0.13,11,3,1
5.5905,2,0.0,0.3,3,3,1
5.5956,2,0.0,0.43,50,3,1
5.6004,2,0.0,0.05,9,3,1
5.6062,2,0.0,0.05,9,3,1
5.611,2,0.0,0.07,24,3,1
5.6158,2,0.0,0.11,7,3,1
5.6214,2,0.0,0.19,2,3,1
5.626,0,0.0,0.39,12,3,2
5.6301,2,0.0,0.06,8,3,1
5.6366,2,0.0,0.01,17,3,1
5.6424,2,0.0,0.04,3,3,1
5.6471,0,0.0,1.41,29,3,2
5.6519,2,0.0,0.04,4,3,1
5.6581,0,0.0,0.16,29,3,2
5.6629,2,0.0,0.41,37,3,1
5.6669,2,0.0,0.01,2,3,1
5.6734,2,0.0,0.11,9,1,1
5.6788,2,0.0,0.32,20,3,1
5.6844,2,0.0,0.18,16,3,1
5.6907,2,0.0,0.07,2,3,1
5.6964,4,0.0,0.2,14,3,0
5.7031,2,0.0,0.22,8,3,1
5.7093,2,0.0,0.07,3,3,1
5.7142,2,0.0,0.95,16,1,1
5.7218,2,0.0,1.13,46,3,1
5.727,2,0.0,2.49,27,3,1
5.7319,2,0.0,0.19,7,3,1
5.7376,2,0.0,0.03,4,3,1
5.742,0,0.0,0.08,14,3,2
5.746,2,0.0,0.07,8,3,1
5.7513,2,0.0,0.15,29,3,1
5.7577,4,0.0,0.07,3,3,0
5.763,2,0.0,0.03,3,3,1
5.7685,2,0.0,0.3,14,3,1
5.7741,0,0.0,0.12,44,3,2
5.7782,2,0.0,0.14,11,3,1
5.7832,2,0.0,0.11,8,3,1
5.7888,2,0.0,0.19,26,3,1
5.7941,2,0.0,0.87,17,1,1
5.7986,2,0.0,0.04,5,3,1
5.8062,2,0.0,0.2,8,3,1
5.8133,2,0.0,0.03,2,3,1
5.8224,3,0.0,0.21,24,3,1
5.8293,2,0.0,0.05,9,3,1
5.8336,0,0.0,0.06,28,3,2
5.839,2,0.0,0.08,5,3,1
5.8447,2,0.0,0.03,19,3,1
5.8507,2,0.0,0.11,10,3,1
5.8564,2,0.0,0.19,10,3,1
5.8613,2,0.0,0.44,5,3,1
5.8664,3,0.0,0.14,20,3,1
5.8724,2,0.0,0.3,15,3,1
5.8775,2,0.0,0.26,8,3,1
5.8825,2,0.0,0.05,2,3,1
5.8881,2,0.0,0.11,11,3,1
5.8927,2,0.0,0.02,19,3,1
5.8968,2,0.0,0.15,53,3,1
5.9004,2,0.0,1.21,40,3,1
5.906,2,38.8,3.18,29,3,1
5.9112,2,0.0,0.07,8,3,1
5.9158,2,0.0,0.19,11,3,1
5.9222,2,0.0,0.24,9,3,1
5.9273,2,0.0,0.38,7,3,1
5.9322,2,0.0,0.65,10,3,1
5.9378,2,0.0,0.12,8,3,1
5.9435,3,0.0,0.72,22,3,1
5.9484,2,0.0,3.12,11,3,1
5.9522,3,7.0,1.87,19,3,1
5.9574,2,0.0,0.09,6,3,1
5.9624,2,0.0,0.12,7,3,1
5.9681,2,0.0,0.12,6,3,1
5.9744,2,0.0,0.3,11,3,1
5.9798,0,0.0,0.13,29,3,2
5.9867,2,0.0,1.71,13,3,1
5.9919,2,0.0,2.11,47,3,1
5.997,2,0.0,0.0,10,3,1
6.004,2,0.0,0.22,2,3,1
6.009,2,84.2,0.43,23,3,0
6.0134,2,0.0,0.1,8,3,1
6.0184,0,0.0,0.66,26,3,2
6.0248,2,0.0,0.52,19,3,1
6.0309,2,0.0,0.05,8,3,1
6.0373,2,0.0,0.02,3,3,1
6.0431,0,0.0,1.69,28,3,2
6.0472,3,0.0,1.03,21,3,1
6.0514,2,0.0,0.31,25,3,1
6.0565,2,0.0,0.16,7,3,1
6.0614,0,0.0,1.92,34,3,2
6.0659,2,0.0,0.04,1,3,1
6.0718,2,0.0,0.1,15,3,1
6.0778,2,0.0,0.18,10,3,1
6.0832,2,0.0,0.08,11,3,1
6.0891,2,0.0,0.13,8,3,1
6.0932,2,0.0,0.66,49,3,1
6.0984,2,0.0,0.13,8,3,1
6.1045,2,0.0,0.54,13,3,1
6.11,2,0.0,0.52,30,3,1
7.1195,2,0.0,0.78,47,3,1
7.1298,2,0.0,0.99,17,3,1
7.1399,2,0.0,0.04,3,3,1
7.1501,2,2.7,1.62,19,3,1
